Init Import Duration,Init Perception Planning Duration,Init Functions Duration,Init Post Duration,Total Init Duration,Target Object,Pick Count,Grasp Choice (Seg ID),Grasp Choice Duration,Grasp Score,Total Computation Duration,Total Grasp Planning Duration,Total Motion Planning Duration,Object Name,Grasp Success,Grasped,Total Execution Duration,Retract Success,Dropped,Grasp Result,Error,Retrieved Target Object,Grasp Retracted Objects,Accidental Dropped Objects,Grasp Result finished Count,Grasp Result timeout Count,Grasp Result no_valid_grasps_found Count,Grasp Result grasp_choice_failed Count,Grasp Result no_valid_motion_plan_found Count,Grasp Success True Count,Grasp Success False Count,Grasp Retracted Objects Count,Accidental Dropped Objects Count,Scene,Experiment Path,Method,Total Experiment Time,Dropped Target Object
0.0713510513305664,1.2272672653198242,0.0001673698425292,0.0392947196960449,1.33880615234375,obj_000065_0,11.0,"1,7,1,1,1,1,5,2,3,3,0","5.156879425048828,4.626778364181519,4.429373264312744,3.944479465484619,4.052279949188232,3.578624725341797,3.059633255004883,3.1289522647857666,2.532865047454834,2.183234453201294,1.6765272617340088","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333","46.52541089057922,48.08931374549866,38.77667164802551,32.745502948760986,54.40332293510437,40.80975341796875,29.977882862091064,30.877126216888428,28.67120051383972,18.362370014190677,24.199398040771484","24.979098320007324,20.555408000946045,18.73523259162903,16.36225175857544,15.84127116203308,15.45171856880188,13.985674142837524,11.818807125091553,9.620994329452516,6.453406572341919,5.008254289627075","8.75830888748169,15.760159730911257,8.445139408111572,6.242721557617188,27.918050050735477,15.353864908218384,6.290038108825684,9.581647634506226,11.099860191345217,4.386907815933228,12.480979204177856","obj_000066_0,obj_000068_0,obj_000047_0,obj_000047_1,obj_000053_0,obj_000053_0,obj_000050_0,obj_000060_0,obj_000059_0,obj_000042_0,obj_000065_0","True,True,True,True,False,True,True,True,True,True,True","['obj_000066_0'],['obj_000068_0'],['obj_000047_0'],['obj_000042_0', 'obj_000047_1'],[],['obj_000053_0'],['obj_000050_0'],['obj_000060_0'],['obj_000059_0'],['obj_000042_0'],['obj_000065_0']","37.17495775222778,27.995625972747803,34.389617919921875,36.599565505981445,64.82855534553528,42.35197043418884,32.5548312664032,39.715256214141846,25.814887285232544,31.944573640823364,28.15319418907165","True,True,True,True,False,True,True,True,True,True,True","obj_000047_0,obj_000053_0,obj_000066_0,obj_000047_1,obj_000060_0,obj_000050_0,obj_000042_0,obj_000068_0,obj_000059_0","finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished","MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION",True,"obj_000047_0,obj_000065_0,obj_000053_0,obj_000066_0,obj_000047_1,obj_000060_0,obj_000050_0,obj_000042_0,obj_000068_0,obj_000059_0",,11,0,0,0,0,10,1,10,0,unstructured_14,trial_2026-02-27_21-26-01__medium_test__dg_only/unstructured_14__obj_000065_0__dg_only,dg_only,918.9388508796692,
0.079188585281372,1.196620225906372,9.965896606445312e-05,0.0414252281188964,1.317883014678955,obj_000079_1,15.0,"2.0,6.0,5.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","4.145225524902344,4.325341463088989,4.132351875305176,3.4670910835266118,3.2482173442840576,2.9738988876342773,3.0151143074035645,2.9939448833465576,3.11929702758789,3.003817319869995,2.721545934677124,2.951269626617432,3.0352728366851807,2.9148144721984863,3.075256824493408","1.0,1.0,1.0","31.91445994377136,31.357017755508423,28.834227800369263","15.436741828918455,13.823862075805664,12.103703737258911","6.608500003814697,7.516327857971191,7.468552350997925","obj_000059_0,obj_000050_0,obj_000003_0","True,True,True","['obj_000059_0'],['obj_000050_0'],['obj_000054_0', 'obj_000069_0', 'obj_000079_1', 'obj_000047_0', 'obj_000012_0', 'obj_000059_1', 'obj_000050_1', 'obj_000003_0']","31.73160219192505,26.756067276000977,24.872135639190677","True,True,True","obj_000050_0,obj_000059_0,obj_000013_0","no_valid_motion_plan_found,no_valid_motion_plan_found,finished,finished,finished,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found","MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION",False,"obj_000047_0,obj_000012_0,obj_000059_1,obj_000050_1,obj_000003_0,obj_000069_0,obj_000079_1,obj_000050_0,obj_000059_0,obj_000054_0",obj_000013_0,3,0,0,0,12,3,0,10,1,unstructured_36,trial_2026-02-27_21-26-01__medium_test__dg_only/unstructured_36__obj_000079_1__dg_only,dg_only,774.4922788143158,
0.0612185001373291,1.3038654327392578,0.0001084804534912,0.0397272109985351,1.4058010578155518,obj_000041_0,6.0,"6.0,9.0,8.0,0.0,7.0,0.0","4.503225088119507,4.721450328826904,4.400217294692993,3.709425926208496,3.696921586990357,3.1799023151397705","1.0,1.0,1.0,1.0,0.6666666666666666","72.1303460597992,47.19989085197449,38.83041453361511,32.517462491989136,29.44729733467102","30.83384323120117,25.920027256011963,21.81793189048767,17.01110553741455,16.184227228164673","30.1802830696106,11.177880048751833,7.143607139587402,6.397683620452881,4.797399997711182","obj_000061_1,obj_000052_0,obj_000041_2,obj_000045_0,obj_000041_0","True,True,True,True,True","['obj_000061_1'],['obj_000052_0'],['obj_000041_2', 'obj_000044_0'],['obj_000045_0'],['obj_000041_0']","55.70356893539429,62.91452312469482,55.00753545761109,58.83843612670898,36.60229539871216","True,True,True,True,True","obj_000050_1,obj_000044_0,obj_000052_0,obj_000061_1,obj_000049_0,obj_000045_0,obj_000041_2","finished,finished,finished,no_valid_motion_plan_found,finished,finished","MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION",True,"obj_000041_0,obj_000044_0,obj_000052_0,obj_000061_1,obj_000045_0,obj_000041_2","obj_000050_1,obj_000049_0",5,0,0,0,1,5,0,6,2,structured_223,trial_2026-02-27_21-26-01__medium_test__dg_only/structured_223__obj_000041_0__dg_only,dg_only,595.5163931846619,
33.80477714538574,91.55840992927553,0.0001449584960937,0.0506718158721923,125.41484785079956,obj_000041_0,10.0,"9.0,9.0,10.0,10.0,10.0,10.0,9.0,7.0,8.0,0.0","4.729445695877075,4.30324387550354,4.235918998718262,3.9762003421783447,3.927206754684448,3.780768871307373,4.098640441894531,4.206934452056885,3.927229881286621,3.724684476852417","1.0,1.0,1.0,1.0,1.0","45.49517369270325,63.34005427360535,31.67035818099976,29.48043990135193,28.062005043029785","22.6504967212677,17.035268783569336,14.205478191375732,13.159719228744509,12.697683095932009","9.604679107666016,34.888253688812256,6.827019214630127,6.319414377212524,6.247861862182617","obj_000074_0,obj_000078_0,obj_000051_0,obj_000027_0,obj_000041_0","True,True,True,True,True","['obj_000074_0'],['obj_000078_0'],['obj_000051_0'],['obj_000027_0'],['obj_000041_0']","45.526734828948975,55.62972569465637,55.10747218132019,47.62790966033936,39.67700290679932","True,True,True,True,True","obj_000078_0,obj_000027_0,obj_000074_0,obj_000051_0","finished,finished,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,finished,finished,finished","MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION",True,"obj_000041_0,obj_000074_0,obj_000078_0,obj_000027_0,obj_000051_0",,5,0,0,0,5,5,0,5,0,structured_198,trial_2026-02-27_21-26-01__medium_test__dg_only/structured_198__obj_000041_0__dg_only,dg_only,863.7792599201202,
0.0750288963317871,1.361534595489502,0.000133991241455,0.0178024768829345,1.4553041458129885,obj_000043_0,15.0,"9.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,1.0,2.0","3.410271167755127,3.5818257331848145,3.849788665771485,3.51203989982605,3.379259824752808,3.4770493507385254,3.458615064620972,3.428520917892456,2.916329860687256,2.5436887741088867,2.2462799549102783,2.0010416507720947,1.8203420639038088","0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666","40.292017459869385,27.952240705490112,28.550511360168457,31.48845934867859,25.95846962928772,24.355616331100464,27.023168802261356,32.558125495910645","16.45819401741028,13.560213088989258,14.13808822631836,11.682464838027954,11.976863622665403,11.157891988754272,9.373260021209717,7.328239679336548","14.321221351623535,4.805100917816162,5.51495361328125,11.282155752182009,5.693601846694946,5.536056995391846,10.410704135894775,17.97758936882019","obj_000063_0,obj_000051_0,obj_000065_0,obj_000055_0,obj_000053_0,obj_000047_0,obj_000051_0,obj_000052_0","True,False,True,True,True,True,True,True","['obj_000063_0'],[],['obj_000065_0'],['obj_000055_0'],['obj_000053_0'],['obj_000047_0'],['obj_000051_0'],['obj_000052_0']","32.24165320396423,27.728660106658936,22.12915349006653,25.732866287231445,29.73013162612915,24.211413145065308,27.514799118041992,18.899242639541622","True,False,True,True,True,True,True,True","obj_000047_0,obj_000065_0,obj_000053_0,obj_000055_0,obj_000063_0,obj_000051_0","finished,finished,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,finished,finished,no_valid_grasps_found,finished,no_valid_grasps_found,finished,finished,finished","MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION",False,"obj_000047_0,obj_000065_0,obj_000053_0,obj_000052_0,obj_000055_0,obj_000063_0,obj_000051_0",,8,0,2,0,5,7,1,7,0,unstructured_10,trial_2026-02-27_21-26-01__medium_test__dg_only/unstructured_10__obj_000043_0__dg_only,dg_only,706.8934876918793,
32.6745069026947,81.88424515724182,9.465217590332033e-05,0.060232400894165,114.62038660049438,obj_000045_0,2.0,"6.0,0.0","4.395912170410156,4.53210711479187","1.0,1.0","49.19893789291382,57.303643465042114","29.37026000022888,29.24123191833496","8.306913375854492,17.59961771965027","obj_000061_1,obj_000045_0","True,True","['obj_000061_1'],['obj_000045_0', 'obj_000055_1']","58.3647723197937,59.494096755981445","True,True","obj_000055_1,obj_000061_1,obj_000050_1,obj_000049_0","finished,finished","MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION",True,"obj_000055_1,obj_000045_0,obj_000061_1","obj_000050_1,obj_000049_0",2,0,0,0,0,2,0,3,2,structured_223,trial_2026-02-27_21-26-01__medium_test__dg_only/structured_223__obj_000045_0__dg_only,dg_only,387.06289052963257,
0.0544636249542236,1.3187875747680664,0.0001084804534912,0.0387220382690429,1.4126317501068115,obj_000006_0,4.0,"4.0,4.0,5.0,0.0","2.136495351791382,3.367493867874145,2.6209020614624023,2.5891776084899902","1.0,1.0,1.0","34.061054706573486,29.15725302696228,26.681575775146484","12.114214897155762,14.681776762008669,11.974082708358765","13.679020404815674,5.5045366287231445,6.906778812408447","obj_000078_0,obj_000050_0,obj_000006_0","True,True,True","['obj_000078_0'],['obj_000050_0'],['obj_000006_0']","66.41618013381958,52.20594906806946,57.524697065353394","True,True,True","obj_000035_0,obj_000078_0,obj_000050_0,obj_000058_0","finished,finished,no_valid_motion_plan_found,finished","MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION",True,"obj_000078_0,obj_000050_0,obj_000006_0","obj_000035_0,obj_000058_0",3,0,0,0,1,3,0,3,2,structured_233,trial_2026-02-27_21-26-01__medium_test__dg_only/structured_233__obj_000006_0__dg_only,dg_only,387.08081126213074,
0.0665473937988281,1.3001787662506104,0.0001084804534912,0.1377608776092529,1.5053880214691162,obj_000053_0,15.0,"6.0,7.0,2.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0","4.970803737640381,4.295804500579834,4.304901599884033,4.121227502822876,3.687814235687256,3.970355033874512,3.9496006965637207,3.7425172328948975,3.1855785846710205,3.4713101387023926,3.485600709915161,2.7030904293060303","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","52.810810565948486,40.9685206413269,37.990110635757446,41.38404178619385,34.92828583717346,30.9948365688324,42.87137770652771,31.013758182525635,29.4006986618042,37.14167904853821","24.508039712905884,22.80114507675171,19.795163869857788,17.712464094161987,17.960840940475464,15.739917039871216,15.778799295425417,15.272700309753418,12.278365850448608,11.210460901260376","16.27133321762085,7.43931770324707,7.868884801864624,12.858027935028076,6.745849847793579,5.361221075057983,17.16972589492798,6.144097805023193,7.6502156257629395,17.887558460235596","obj_000060_0,obj_000068_0,obj_000047_0,obj_000050_0,obj_000050_0,obj_000066_0,obj_000066_0,obj_000066_0,obj_000059_0,obj_000053_0","True,True,True,False,True,False,False,True,True,True","['obj_000060_0'],['obj_000068_0'],['obj_000047_0'],[],['obj_000050_0'],[],[],['obj_000066_0'],['obj_000059_0'],['obj_000053_0']","32.59370803833008,30.601508855819706,30.164812564849854,34.19904637336731,30.558228015899655,28.541686058044437,28.121749877929688,42.71381807327271,27.84850001335144,32.075830936431885","True,True,True,False,True,False,False,True,True,True","obj_000047_0,obj_000066_0,obj_000060_0,obj_000050_0,obj_000068_0,obj_000059_0","finished,finished,no_valid_grasps_found,finished,finished,no_valid_grasps_found,finished,finished,finished,finished,no_valid_motion_plan_found,no_valid_motion_plan_found,finished,no_valid_grasps_found,finished","MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION",True,"obj_000047_0,obj_000053_0,obj_000066_0,obj_000060_0,obj_000050_0,obj_000068_0,obj_000059_0",,10,0,3,0,2,7,3,7,0,unstructured_14,trial_2026-02-27_21-26-01__medium_test__dg_only/unstructured_14__obj_000053_0__dg_only,dg_only,933.6253724098206,
0.0615985393524169,1.289337158203125,0.0001435279846191,0.2147791385650634,1.5664148330688477,obj_000066_0,7.0,"2.0,0.0,9.0,6.0,8.0,0.0,0.0","4.658586025238037,5.510332822799683,5.879021883010864,5.611644983291626,5.268860816955566,4.51332950592041,5.154719114303589","1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333","47.19131302833557,46.77110695838928,43.48366713523865,44.700912952423096,85.56976413726807,45.996514558792114","27.386536121368408,27.996626377105716,25.76979422569275,26.149600982666016,22.18098545074463,21.91975688934326","8.211391687393188,6.913445234298706,5.513828277587891,6.982897520065308,51.7596173286438,13.346284866333008","obj_000062_0,obj_000066_0,obj_000068_0,obj_000060_0,obj_000068_0,obj_000066_0","True,False,False,True,True,True","['obj_000062_0'],[],[],['obj_000067_0', 'obj_000060_0', 'obj_000055_0'],['obj_000068_0'],['obj_000066_0']","39.21040320396423,36.3747136592865,44.88931131362915,29.64359974861145,35.55984902381897,34.698922872543335","True,False,False,True,True,True","obj_000062_0,obj_000068_0,obj_000060_0,obj_000051_0","finished,finished,finished,finished,finished,no_valid_motion_plan_found,finished","MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION",True,"obj_000066_0,obj_000062_0,obj_000060_0,obj_000055_0,obj_000067_0,obj_000068_0",obj_000051_0,6,0,0,0,1,4,2,6,1,unstructured_30,trial_2026-02-27_21-26-01__medium_test__dg_only/unstructured_30__obj_000066_0__dg_only,dg_only,665.3013968467712,
0.0686235427856445,1.2215256690979004,9.226799011230467e-05,0.0286023616790771,1.319468975067139,obj_000044_0,15.0,"6,4,2,8,4,7,1,3,4,0,0,0,0,-1,-1,-1,0","4.201105117797852,4.707840919494629,4.363524913787842,3.578139066696167,3.620978593826294,2.6553053855896,2.92732834815979,2.566448450088501,1.8577301502227783,1.6238501071929932,1.8448574542999268,1.7341268062591553,1.8272290229797363,1.6345348358154297,1.724809169769287,1.6233384609222412,1.4874465465545654","1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666","63.82383847236633,45.6823205947876,42.464316606521606,35.48781943321228,34.53888821601868,30.01246833801269,28.007938146591187,26.240049839019772,49.58833956718445,17.316158533096313","30.33087944984436,28.53474831581116,25.656550407409668,21.024832010269165,19.58499503135681,16.572091102600098,13.642917156219482,11.943973541259766,11.324498653411863,6.226066827774048","22.178836345672607,6.4626381397247314,6.731505870819092,5.162181854248047,5.685254335403442,5.401877641677856,6.1390931606292725,6.38726544380188,31.25495672225952,4.3914079666137695","obj_000061_1,obj_000055_1,obj_000051_1,obj_000045_0,obj_000041_0,obj_000050_0,obj_000051_0,obj_000041_1,obj_000052_0,obj_000044_0","True,True,True,True,True,True,True,True,True,True","['obj_000061_1'],['obj_000055_1'],['obj_000061_0', 'obj_000041_0', 'obj_000051_1'],['obj_000045_0'],['obj_000041_0'],['obj_000050_0'],['obj_000051_0'],['obj_000041_1'],['obj_000052_0'],['obj_000044_0']","64.5942530632019,42.538992404937744,55.97539520263672,34.56541323661804,42.74634075164795,64.34360790252686,51.76180076599121,98.85207915306091,79.43840265274048,71.30531406402588","True,True,True,True,True,True,True,True,True,True","obj_000041_0,obj_000050_1,obj_000055_1,obj_000051_1,obj_000061_1,obj_000052_0,obj_000049_0,obj_000045_0,obj_000050_0,obj_000041_1,obj_000051_0","finished,finished,finished,finished,finished,finished,finished,finished,finished,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,no_valid_motion_plan_found,grasp_choice_failed,finished","MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION",True,"obj_000041_0,obj_000055_1,obj_000044_0,obj_000051_1,obj_000061_1,obj_000052_0,obj_000061_0,obj_000045_0,obj_000050_0,obj_000041_1,obj_000051_0","obj_000050_1,obj_000049_0",10,0,0,1,4,10,0,11,2,structured_223,trial_2026-02-27_21-26-01__medium_test__dg_only/structured_223__obj_000044_0__dg_only,dg_only,1259.8341264724731,
