Init Import Duration,Init Perception Planning Duration,Init Functions Duration,Init Post Duration,Total Init Duration,Target Object,Pick Count,Grasp Choice (Seg ID),Grasp Choice Duration,Grasp Score,Total Computation Duration,Total Grasp Planning Duration,Total Motion Planning Duration,Object Name,Grasp Success,Grasped,Total Execution Duration,Retract Success,Dropped,Grasp Result,Retrieved Target Object,Grasp Retracted Objects,Accidental Dropped Objects,Grasp Result finished Count,Grasp Result timeout Count,Grasp Result no_valid_grasps_found Count,Grasp Result grasp_choice_failed Count,Grasp Result no_valid_motion_plan_found Count,Grasp Success True Count,Grasp Success False Count,Grasp Retracted Objects Count,Accidental Dropped Objects Count,Scene,Experiment Path,Method,Total Experiment Time,Dropped Target Object,Error
0.1201238632202148,0.7531111240386963,0.0002131462097167,0.0370237827301025,0.916734218597412,obj_000049_0,11.0,"8,12,14,7,12,5,6,5,4,6,0","0.4628748893737793,0.492959976196289,0.4502918720245361,0.6142408847808838,0.4772121906280517,0.3409292697906494,0.3598320484161377,0.3580412864685058,0.4129159450531006,0.5285537242889404,0.3418149948120117","1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0","35.994654178619385,35.31874108314514,32.54755663871765,32.043741941452026,30.457351207733154,28.362675189971924,25.60020756721497,23.726476669311523,25.2063672542572,24.58115577697754,22.675141096115112","24.69727206230164,25.356653928756717,23.27660822868347,22.58005714416504,22.401824712753296,19.158906936645508,17.18261408805847,15.6989107131958,16.8664710521698,15.92577338218689,16.016263961791992","5.708000659942627,4.993218898773193,4.373900651931763,4.467536449432373,3.3110711574554443,4.514814138412476,3.9113399982452393,3.501857280731201,3.644417762756348,4.046743392944336,2.3762776851654053","obj_000060_0,obj_000052_0,obj_000063_0,obj_000067_0,obj_000057_0,obj_000053_0,obj_000055_0,obj_000055_0,obj_000053_0,obj_000068_0,obj_000049_0","True,True,True,True,True,False,True,True,True,True,True","['obj_000060_0'],['obj_000052_0'],['obj_000063_0'],['obj_000067_0'],['obj_000057_0'],[],['obj_000055_0'],['obj_000055_0'],['obj_000053_0'],['obj_000068_0'],['obj_000049_0']","45.02973437309265,35.803460121154785,34.921607971191406,34.788716554641724,31.274207592010494,34.59550929069519,28.04894709587097,32.7604877948761,42.53829479217529,36.73165988922119,34.3697395324707","True,True,True,True,True,False,False,True,True,True,True","obj_000055_0,obj_000053_0,obj_000052_0,obj_000060_0,obj_000067_0,obj_000057_0,obj_000063_0,obj_000068_0","finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished",True,"obj_000055_0,obj_000049_0,obj_000053_0,obj_000052_0,obj_000060_0,obj_000067_0,obj_000057_0,obj_000063_0,obj_000068_0",,11,0,0,0,0,10,1,9,0,unstructured_30,trial_2025-12-07_23-42-10__unstructured__all_auto/30__obj_000049_0__random,random,811.9061150550842,,
0.0420737266540527,0.78424072265625,0.0001759529113769,0.0814859867095947,0.9085187911987304,obj_000050_0,3.0,"1,8,0","12.985111951828005,14.804330587387083,16.74780011177063","1.0,1.0,1.0","56.14953422546387,61.47138714790344,57.49814367294312","30.143041849136356,35.8263680934906,30.908567667007446","6.3702428340911865,5.261248826980591,5.034436702728272","obj_000062_0,obj_000061_1,obj_000050_0","True,True,True","['obj_000062_0'],['obj_000061_1'],['obj_000050_0']","44.88686227798462,53.23826909065247,41.33912658691406","True,True,True","obj_000062_0,obj_000061_1","finished,finished,finished",True,"obj_000062_0,obj_000050_0,obj_000061_1",,3,0,0,0,0,3,0,3,0,unstructured_122,trial_2025-12-07_23-42-10__unstructured__all_auto/122__obj_000050_0__dg_only,dg_only,358.1383647918701,,
0.0431113243103027,0.9505021572113036,0.000173807144165,0.1186137199401855,1.1131386756896973,obj_000043_0,5.0,"2,7,6,2,0","56.95516777038574,90.37025332450868,36.91684126853943,56.22213363647461,7.4541285037994385","1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666","91.8339502811432,124.48354053497314,67.59183716773987,85.43564581871033,35.366939544677734","24.76177334785461,25.15843677520752,22.500880479812626,21.293689250946045,19.19276785850525","5.234487533569336,4.340976476669312,3.794708251953125,3.870608329772949,4.09440016746521","obj_000062_0,obj_000060_0,obj_000067_0,obj_000066_0,obj_000043_0","True,True,True,False,True","['obj_000062_0'],['obj_000060_0'],['obj_000067_0'],[],['obj_000043_0']","40.25988340377808,44.06190586090088,27.454970598220825,28.348223447799683,38.03211307525635","True,True,True,False,True","obj_000062_0,obj_000060_0,obj_000067_0","finished,finished,finished,finished,finished",True,"obj_000062_0,obj_000060_0,obj_000067_0,obj_000043_0",,5,0,0,0,0,4,1,4,0,unstructured_30,trial_2025-12-07_23-42-10__unstructured__all_auto/30__obj_000043_0__dg_into_vlm,dg_into_vlm,636.281683921814,,
0.0569431781768798,1.3908677101135254,0.0002539157867431,0.0282642841339111,1.4768450260162354,obj_000047_0,5.0,"1,10,7,5,0","11.880560398101808,14.813050508499146,17.54830050468445,17.301851987838745,18.517630100250244","1.0,1.0,1.0,0.3333333333333333,1.0","57.62092709541321,59.96549034118652,59.99840211868286,52.78528642654419,53.319406032562256","28.83428907394409,34.409311294555664,30.70621418952942,26.857794761657715,25.92681646347046","10.618908643722534,5.630984544754028,6.582005739212036,4.06761622428894,4.223827362060547","obj_000062_0,obj_000049_2,obj_000061_1,obj_000065_0,obj_000047_0","True,True,True,False,True","['obj_000062_0'],['obj_000049_2'],['obj_000061_1'],[],['obj_000047_0']","41.05699110031128,42.06376314163208,37.34537625312805,34.11697602272034,43.26543927192688","True,True,True,False,True","obj_000062_0,obj_000049_2,obj_000061_1","finished,finished,finished,finished,finished",True,"obj_000062_0,obj_000047_0,obj_000049_2,obj_000061_1",,5,0,0,0,0,4,1,4,0,unstructured_122,trial_2025-12-07_23-42-10__unstructured__all_auto/122__obj_000047_0__dg_only,dg_only,541.2645921707153,,
0.164529800415039,5.1165032386779785,0.0001683235168457,0.0697624683380127,5.351346731185913,obj_000047_0,2.0,"2,0","51.708715200424194,84.9763171672821","1.0,1.0","85.6353406906128,114.88999009132384","24.325329542160038,21.878102779388428","4.195640802383423,3.84633731842041","obj_000062_0,obj_000047_0","True,True","['obj_000062_0'],['obj_000047_0']","38.1234405040741,22.53237009048462","True,True",obj_000062_0,"finished,finished",True,"obj_000062_0,obj_000047_0",,2,0,0,0,0,2,0,2,0,unstructured_30,trial_2025-12-07_23-42-10__unstructured__all_auto/30__obj_000047_0__vlm_dg,vlm_dg,294.294207572937,,
0.0444345474243164,0.7470974922180176,0.0001671314239501,0.0398736000061035,0.8319375514984131,obj_000065_0,10.0,"8,6,5,7,3,6,3,4,1,0","0.5188379287719727,0.503990650177002,0.5086448192596436,0.3912756443023681,0.4052717685699463,0.3786807060241699,0.4788894653320312,0.3792846202850342,0.3063616752624511,0.3146572113037109","1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333","34.006041049957275,30.016453981399536,27.143550157547,26.432549953460693,24.488423109054565,21.546690702438354,22.341245412826535,20.17108035087585,16.062861680984497,13.37910771369934","21.90172863006592,19.42935514450073,17.56575632095337,16.229068756103516,15.799673795700071,12.935585498809814,13.53125500679016,11.858604669570925,9.111273050308228,6.384561538696289","6.332244157791138,5.131934881210327,4.532987833023071,5.2487874031066895,3.978093385696411,3.810046911239624,4.036231994628906,3.925427913665772,2.534988641738892,3.06732439994812","obj_000068_0,obj_000060_0,obj_000067_0,obj_000050_0,obj_000047_1,obj_000042_0,obj_000053_0,obj_000059_0,obj_000066_0,obj_000065_0","True,True,True,True,True,True,True,True,True,True","['obj_000068_0'],['obj_000060_0'],['obj_000067_0'],['obj_000050_0'],['obj_000047_1'],['obj_000042_0'],['obj_000053_0'],['obj_000059_0'],['obj_000066_0'],['obj_000065_0']","28.93818712234497,35.62171983718872,34.52329707145691,27.98016834259033,25.805604696273804,16.333831071853638,24.771440505981445,24.83810305595398,23.14372420310974,19.68553376197815","True,True,True,True,True,True,True,True,True,True","obj_000053_0,obj_000059_0,obj_000060_0,obj_000067_0,obj_000050_0,obj_000042_0,obj_000047_1,obj_000068_0,obj_000066_0","finished,finished,finished,finished,finished,finished,finished,finished,finished,finished",True,"obj_000053_0,obj_000065_0,obj_000059_0,obj_000060_0,obj_000067_0,obj_000050_0,obj_000042_0,obj_000047_1,obj_000068_0,obj_000066_0",,10,0,0,0,0,10,0,10,0,unstructured_14,trial_2025-12-07_23-42-10__unstructured__all_auto/14__obj_000065_0__random,random,574.0088646411896,,
0.0419802665710449,0.7996482849121094,0.0003321170806884,0.0378861427307128,0.8802802562713623,obj_000053_0,5.0,"7,7,7,7,7,7,7,9,0","11.646241188049316,15.94105625152588,7.79877233505249,12.791884183883669,8.930256843566895,8.497204303741455,8.037463426589966,12.466244459152222,8.02757477760315","1.0,1.0,1.0","39.308758020401,40.9249050617218,32.52460861206055","21.82938265800476,19.583707571029663,16.805871963500977","4.946526765823364,4.35525369644165,3.604278326034546","obj_000050_0,obj_000056_1,obj_000053_0","True,True,True","['obj_000050_0'],['obj_000056_1'],['obj_000053_0']","26.902347803115845,26.76718521118164,26.403622150421143","True,True,True","obj_000050_0,obj_000056_1","grasp_choice_failed,grasp_choice_failed,finished,finished,finished",True,"obj_000050_0,obj_000056_1,obj_000053_0",,3,0,0,2,0,3,0,3,0,unstructured_146,trial_2025-12-07_23-42-10__unstructured__all_auto/146__obj_000053_0__vlm_only,vlm_only,343.47475028038025,,
0.0615179538726806,0.8104128837585449,0.0002315044403076,0.040910005569458,0.9136383533477784,obj_000048_1,6.0,"4,4,9,7,6,0","28.697080612182617,22.51795172691345,43.45022416114807,25.906041622161865,8.449015617370605,6.537633895874023","1.0,1.0,1.0,1.0,1.0,1.0","60.36118483543396,51.219505071640015,69.65842723846436,47.63269805908203,27.67473077774048,25.542582035064697","19.33317995071411,17.55523180961609,15.644307374954224,12.12843894958496,10.481829643249512,10.3159282207489","6.094984292984009,5.454066276550293,5.071640491485596,4.720858335494995,4.188376188278198,4.007524251937866","obj_000061_1,obj_000059_0,obj_000025_2,obj_000025_1,obj_000025_0,obj_000048_1","True,True,False,True,True,True","['obj_000061_1'],['obj_000059_0'],['obj_000036_0', 'obj_000025_2'],['obj_000025_1'],['obj_000025_0'],['obj_000048_1']","31.753313779830933,26.0532546043396,38.03544616699219,21.994062900543213,29.31129193305969,43.72189235687256","True,True,False,False,True,True","obj_000061_1,obj_000059_0,obj_000025_0,obj_000036_0,obj_000025_1,obj_000025_2","finished,finished,finished,finished,finished,finished",True,"obj_000059_0,obj_000048_1,obj_000025_0,obj_000061_1","obj_000025_2,obj_000036_0,obj_000025_1",6,0,0,0,0,5,1,4,3,unstructured_128,trial_2025-12-07_23-42-10__unstructured__all_auto/128__obj_000048_1__vlm_only,vlm_only,537.3540642261505,,
0.0409061908721923,1.5605835914611816,0.0001235008239746,0.0489020347595214,1.650911569595337,obj_000047_1,6.0,"3,7,1,6,4,0","43.77419996261597,63.68029999732971,32.11859154701233,24.12970781326294,43.68682527542114,6.630030393600464","1.0,1.0,1.0,1.0,0.3333333333333333,1.0","84.95133066177368,100.902095079422,64.1708312034607,61.10814809799194,74.35037183761597,32.81134510040283","28.72950220108032,25.664161920547485,21.059434413909912,26.977226734161377,22.807180643081665,18.815837144851685","6.706420183181763,5.805716753005981,5.319558382034302,5.334206819534302,3.9022626876831055,3.3547632694244385","obj_000066_0,obj_000049_2,obj_000062_0,obj_000061_1,obj_000065_0,obj_000047_1","True,True,True,True,True,True","['obj_000066_0'],['obj_000049_2'],['obj_000062_0'],['obj_000061_1'],['obj_000065_0'],['obj_000047_1']","33.109461545944214,44.614216566085815,41.386404275894165,36.44772577285767,30.42427968978882,29.234968662261963","True,True,True,True,True,True","obj_000065_0,obj_000061_1,obj_000049_2,obj_000062_0,obj_000066_0","finished,finished,finished,finished,finished,finished",True,"obj_000065_0,obj_000061_1,obj_000049_2,obj_000062_0,obj_000047_1,obj_000066_0",,6,0,0,0,0,6,0,6,0,unstructured_122,trial_2025-12-07_23-42-10__unstructured__all_auto/122__obj_000047_1__dg_into_vlm,dg_into_vlm,698.9582657814026,,
0.0874483585357666,0.8190083503723145,0.0001828670501708,0.0333590507507324,0.9407331943511964,obj_000070_0,2.0,"6,0","0.4548304080963135,0.4609429836273193","1.0,1.0","32.5865216255188,28.13893985748291","18.701091766357425,15.365660905838013","7.466221809387207,6.380781650543213","obj_000074_0,obj_000070_0","False,True","[],['obj_000070_0']","35.134077072143555,42.43214511871338","True,True",obj_000074_0,"finished,finished",True,obj_000070_0,obj_000074_0,2,0,0,0,0,1,1,1,1,unstructured_105,trial_2025-12-07_23-42-10__unstructured__all_auto/105__obj_000070_0__random,random,178.51847767829895,,
